method,K,alpha,scope,r_at_10,routes_correct,routes_total,nmi,core_hit,core_mean_size,metric_kind,plan_path,missing_reason
"GW (unsup, alpha=1.0)",0,1.0,aggregate,0.02,3,15,0.3737089662972356,0.1675,54.185,core_set,results/exp_unsup/T_gw.npy,
"GW (unsup, alpha=1.0)",0,1.0,heldout,0.06666666666666667,2,15,0.7154148348485944,0.3,53.8,core_set,results/exp_unsup/T_gw.npy,
FGW direct (M = caption cos),0,0.0,aggregate,0.205,3,15,0.2616349490881679,0.0925,2.45,core_set,results/exp_d/plans/T__a0.00.npy,
FGW direct (M = caption cos),0,0.0,heldout,0.3,3,15,0.6611794021182935,0.1,2.3666666666666667,core_set,results/exp_d/plans/T__a0.00.npy,
FGW direct (M = caption cos),0,0.3,aggregate,0.22,8,15,0.18976771787461705,0.1425,4.5525,core_set,results/exp_d/plans/T__a0.30.npy,
FGW direct (M = caption cos),0,0.3,heldout,0.3,6,15,0.7099675622263542,0.2,5.2,core_set,results/exp_d/plans/T__a0.30.npy,
FGW direct (M = caption cos),0,0.5,aggregate,0.2275,8,15,0.20223753024280172,0.155,5.735,core_set,results/exp_d/plans/T__a0.50.npy,
FGW direct (M = caption cos),0,0.5,heldout,0.3,7,15,0.7613614901662257,0.23333333333333334,7.033333333333333,core_set,results/exp_d/plans/T__a0.50.npy,
FGW direct (M = caption cos),0,0.7,aggregate,0.225,7,15,0.22390042616947534,0.19,8.8,core_set,results/exp_d/plans/T__a0.70.npy,
FGW direct (M = caption cos),0,0.7,heldout,0.26666666666666666,7,15,0.7359608524834746,0.23333333333333334,9.533333333333333,core_set,results/exp_d/plans/T__a0.70.npy,
FGW direct (M = caption cos),0,0.9,aggregate,0.2025,5,15,0.2703966836625527,0.2925,22.72,core_set,results/exp_d/plans/T__a0.90.npy,
FGW direct (M = caption cos),0,0.9,heldout,0.26666666666666666,6,15,0.6636152166235653,0.3,19.666666666666668,core_set,results/exp_d/plans/T__a0.90.npy,
FGW transitive (identity bridge),10,0.0,aggregate,0.0325,2,15,0.22820542425130658,0.1525,40.7425,core_set,results/exp_c/plans/T__K10__a0.00.npy,
FGW transitive (identity bridge),10,0.0,heldout,0.06666666666666667,3,15,0.6651425508240943,0.13333333333333333,44.3,core_set,results/exp_c/plans/T__K10__a0.00.npy,
FGW transitive (identity bridge),10,0.3,aggregate,0.05,2,15,0.2328612361238321,0.215,46.345,core_set,results/exp_c/plans/T__K10__a0.30.npy,
FGW transitive (identity bridge),10,0.3,heldout,0.03333333333333333,4,15,0.6868525415822161,0.13333333333333333,45.93333333333333,core_set,results/exp_c/plans/T__K10__a0.30.npy,
FGW transitive (identity bridge),10,0.5,aggregate,0.055,2,15,0.23847171234216458,0.2525,50.7125,core_set,results/exp_c/plans/T__K10__a0.50.npy,
FGW transitive (identity bridge),10,0.5,heldout,0.03333333333333333,3,15,0.7118288564847591,0.2,50.266666666666666,core_set,results/exp_c/plans/T__K10__a0.50.npy,
FGW transitive (identity bridge),10,0.7,aggregate,0.0575,2,15,0.28927859595206773,0.2925,57.465,core_set,results/exp_c/plans/T__K10__a0.70.npy,
FGW transitive (identity bridge),10,0.7,heldout,0.03333333333333333,4,15,0.6364672256757811,0.23333333333333334,57.56666666666667,core_set,results/exp_c/plans/T__K10__a0.70.npy,
FGW transitive (identity bridge),10,0.9,aggregate,0.05,1,15,0.29610078039844623,0.315,66.0325,core_set,results/exp_c/plans/T__K10__a0.90.npy,
FGW transitive (identity bridge),10,0.9,heldout,0.03333333333333333,4,15,0.7108262513611738,0.16666666666666666,64.46666666666667,core_set,results/exp_c/plans/T__K10__a0.90.npy,
FGW transitive (identity bridge),20,0.0,aggregate,0.055,1,15,0.17394496565602122,0.1525,28.525,core_set,results/exp_c/plans/T__K20__a0.00.npy,
FGW transitive (identity bridge),20,0.0,heldout,0.06666666666666667,6,15,0.6228805021022705,0.13333333333333333,29.666666666666668,core_set,results/exp_c/plans/T__K20__a0.00.npy,
FGW transitive (identity bridge),20,0.3,aggregate,0.06,1,15,0.19379244917147095,0.205,35.51,core_set,results/exp_c/plans/T__K20__a0.30.npy,
FGW transitive (identity bridge),20,0.3,heldout,0.1,7,15,0.5714123599480365,0.13333333333333333,34.833333333333336,core_set,results/exp_c/plans/T__K20__a0.30.npy,
FGW transitive (identity bridge),20,0.5,aggregate,0.0675,1,15,0.20144355189035218,0.275,41.8075,core_set,results/exp_c/plans/T__K20__a0.50.npy,
FGW transitive (identity bridge),20,0.5,heldout,0.1,5,15,0.5385981946255199,0.23333333333333334,40.03333333333333,core_set,results/exp_c/plans/T__K20__a0.50.npy,
FGW transitive (identity bridge),20,0.7,aggregate,0.08,2,15,0.23871616851111477,0.3,50.755,core_set,results/exp_c/plans/T__K20__a0.70.npy,
FGW transitive (identity bridge),20,0.7,heldout,0.1,5,15,0.6463003549927239,0.3333333333333333,49.53333333333333,core_set,results/exp_c/plans/T__K20__a0.70.npy,
FGW transitive (identity bridge),20,0.9,aggregate,0.06,1,15,0.2748027375653049,0.35,63.625,core_set,results/exp_c/plans/T__K20__a0.90.npy,
FGW transitive (identity bridge),20,0.9,heldout,0.13333333333333333,3,15,0.6733671776035213,0.23333333333333334,62.3,core_set,results/exp_c/plans/T__K20__a0.90.npy,
FGW transitive (identity bridge),50,0.0,aggregate,0.0975,4,15,0.17524341490977663,0.1475,18.3175,core_set,results/exp_c/plans/T__K50__a0.00.npy,
FGW transitive (identity bridge),50,0.0,heldout,0.03333333333333333,6,15,0.6565640623376533,0.03333333333333333,19.866666666666667,core_set,results/exp_c/plans/T__K50__a0.00.npy,
FGW transitive (identity bridge),50,0.3,aggregate,0.105,5,15,0.1723745559120502,0.195,23.7675,core_set,results/exp_c/plans/T__K50__a0.30.npy,
FGW transitive (identity bridge),50,0.3,heldout,0.03333333333333333,7,15,0.6072312824956785,0.03333333333333333,23.433333333333334,core_set,results/exp_c/plans/T__K50__a0.30.npy,
FGW transitive (identity bridge),50,0.5,aggregate,0.1025,5,15,0.20260602436932673,0.225,29.765,core_set,results/exp_c/plans/T__K50__a0.50.npy,
FGW transitive (identity bridge),50,0.5,heldout,0.03333333333333333,4,15,0.6761425410061477,0.03333333333333333,28.8,core_set,results/exp_c/plans/T__K50__a0.50.npy,
FGW transitive (identity bridge),50,0.7,aggregate,0.0925,5,15,0.23728103484391092,0.3025,39.555,core_set,results/exp_c/plans/T__K50__a0.70.npy,
FGW transitive (identity bridge),50,0.7,heldout,0.03333333333333333,7,15,0.719936479114745,0.1,38.5,core_set,results/exp_c/plans/T__K50__a0.70.npy,
FGW transitive (identity bridge),50,0.9,aggregate,0.08,2,15,0.2714193959625105,0.375,59.84,core_set,results/exp_c/plans/T__K50__a0.90.npy,
FGW transitive (identity bridge),50,0.9,heldout,0.06666666666666667,4,15,0.6607688107547386,0.26666666666666666,61.36666666666667,core_set,results/exp_c/plans/T__K50__a0.90.npy,
