K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift,cat_precision_10,plan_row_entropy
10,0.0,aggregate,0.065,0.105,0.1825,0.29,4,10,0.0925,0.43814757466316223,0.2914186268111865,0.252593215252061,0.1885014251000123,0.29141862681118647,0.2903446074595248,0.29250062151613443,nan,nan,nan,nan,nan,0.32300000000000006,3.8094927955814
10,0.0,heldout,0.041025641025641026,0.08205128205128205,0.16153846153846155,0.2717948717948718,5,10,0.08,0.4259181618690491,0.3133468844769745,0.274943983197782,0.19760500856421032,0.31334688447697445,0.3170024647720869,0.3097746532042838,nan,nan,nan,nan,nan,0.31153846153846154,3.8094927955814
10,0.3,aggregate,0.06,0.1275,0.2125,0.32,4,10,0.11049999999999999,0.6876105070114136,0.3425538099761465,0.3065164848185696,0.22133789822369446,0.34255380997614643,0.340644192182614,0.34448495872868395,nan,nan,nan,nan,nan,0.34275000000000005,3.9683445198455187
10,0.3,heldout,0.035897435897435895,0.10512820512820513,0.19230769230769232,0.30256410256410254,5,10,0.09846153846153846,0.6829705238342285,0.3487913795680042,0.3123582771250766,0.22470756928459207,0.3487913795680042,0.3522281695649106,0.3454210089647732,nan,nan,nan,nan,nan,0.33205128205128204,3.9683445198455187
10,0.5,aggregate,0.06,0.1325,0.2175,0.33,4,10,0.10550000000000001,0.7106303572654724,0.35397326076190866,0.31879114831935573,0.22634209161723393,0.3539732607619087,0.35405933894932795,0.3538872244186246,nan,nan,nan,nan,nan,0.34175,4.127602913787365
10,0.5,heldout,0.035897435897435895,0.11025641025641025,0.19743589743589743,0.3128205128205128,6,10,0.09230769230769231,0.7069014310836792,0.35022031570748174,0.3140769736993615,0.22307839454125988,0.3502203157074817,0.3558039757768746,0.34480919756635664,nan,nan,nan,nan,nan,0.33128205128205124,4.127602913787365
10,0.7,aggregate,0.0475,0.135,0.215,0.33,4,10,0.1015,0.725264310836792,0.36664500732552807,0.33215885534770434,0.2404032175949496,0.3666450073255281,0.365579101188909,0.36771714728801425,nan,nan,nan,nan,nan,0.34600000000000003,4.381255818508664
10,0.7,heldout,0.023076923076923078,0.11282051282051282,0.19487179487179487,0.3128205128205128,6,10,0.1,0.7222337126731873,0.3749048278446142,0.3401338343055079,0.2286585516289212,0.3749048278446142,0.37966965783785184,0.3702581121495632,nan,nan,nan,nan,nan,0.3364102564102564,4.381255818508664
10,0.9,aggregate,0.035,0.105,0.1675,0.28,6,10,0.1175,0.7379505634307861,0.39589950085505266,0.36317699180390395,0.24725462791731692,0.3958995008550527,0.3984109034623473,0.3934195614163592,nan,nan,nan,nan,nan,0.3415000000000001,4.780056317922067
10,0.9,heldout,0.020512820512820513,0.08717948717948718,0.15128205128205127,0.2641025641025641,5,10,0.10666666666666667,0.7312914729118347,0.3585847959952645,0.32309048158553383,0.20516017765389283,0.35858479599526444,0.36670857703322457,0.3508131500754799,nan,nan,nan,nan,nan,0.3346153846153846,4.780056317922067
20,0.0,aggregate,0.0775,0.1475,0.25,0.365,4,10,0.09649999999999999,0.41085541248321533,0.27180064535919024,0.23239477928739566,0.1703324727143986,0.2718006453591903,0.27330164933967876,0.27031603869453713,nan,nan,nan,nan,nan,0.40025,2.8149748234439578
20,0.0,heldout,0.031578947368421054,0.10263157894736842,0.21052631578947367,0.33157894736842103,4,10,0.07263157894736842,0.4001171290874481,0.29226592876833124,0.25205177913414545,0.18157712320121208,0.29226592876833124,0.29095109596677954,0.2935926992000481,nan,nan,nan,nan,nan,0.3810526315789474,2.8149748234439578
20,0.3,aggregate,0.085,0.155,0.2775,0.385,4,10,0.10399999999999998,0.6204911470413208,0.3138205757244782,0.2765943800649026,0.19129048118239034,0.3138205757244782,0.31471103119183225,0.3129351450176076,nan,nan,nan,nan,nan,0.41875,3.18345277321435
20,0.3,heldout,0.03684210526315789,0.11052631578947368,0.2394736842105263,0.3526315789473684,5,10,0.08315789473684211,0.6179595589637756,0.3449478064856674,0.3076206180613384,0.21379803940577247,0.34494780648566736,0.34237573468547594,0.34755881579047054,nan,nan,nan,nan,nan,0.4002631578947369,3.18345277321435
20,0.5,aggregate,0.0775,0.175,0.285,0.415,5,10,0.10550000000000001,0.6705952882766724,0.31488703579114313,0.2777264702243556,0.18898041310616592,0.3148870357911431,0.31607517289128106,0.31370779773305807,nan,nan,nan,nan,nan,0.41900000000000004,3.4922593205161423
20,0.5,heldout,0.02894736842105263,0.13157894736842105,0.24736842105263157,0.38421052631578945,5,10,0.08368421052631579,0.6710872650146484,0.34584470698261727,0.3085721325682589,0.20758209675788372,0.34584470698261727,0.3436591940422798,0.3480581955303103,nan,nan,nan,nan,nan,0.39947368421052637,3.4922593205161423
20,0.7,aggregate,0.07,0.1775,0.2775,0.3975,7,10,0.10300000000000001,0.715769350528717,0.3198464262975589,0.2829811183741565,0.19238933501263575,0.31984642629755894,0.321567495324002,0.31814368194399584,nan,nan,nan,nan,nan,0.4075,3.9231002489506555
20,0.7,heldout,0.02368421052631579,0.13421052631578947,0.2394736842105263,0.36578947368421055,5,10,0.08947368421052632,0.7177596688270569,0.3400088099212723,0.3024162717287519,0.20897127479721722,0.3400088099212723,0.33854609401458363,0.3414842202410505,nan,nan,nan,nan,nan,0.39131578947368423,3.9231002489506555
20,0.9,aggregate,0.0575,0.1375,0.2025,0.3625,8,10,0.11699999999999999,0.7304220199584961,0.38170726055225135,0.34822898571058436,0.25036279290338176,0.3817072605522513,0.3842868786588827,0.37916204413008575,nan,nan,nan,nan,nan,0.39149999999999996,4.600896505965304
20,0.9,heldout,0.031578947368421054,0.10789473684210527,0.1736842105263158,0.33421052631578946,5,10,0.10210526315789473,0.7235637903213501,0.3875467842044394,0.3527375960882415,0.2453393855723013,0.38754678420443933,0.3869662618933619,0.38812905091816496,nan,nan,nan,nan,nan,0.3797368421052632,4.600896505965304
50,0.0,aggregate,0.1875,0.3575,0.5075,0.64,8,10,0.114,0.5512182116508484,0.3105126291203818,0.2732608668759861,0.153505380491427,0.31051262912038186,0.3126100644023162,0.30844315144839524,nan,nan,nan,nan,nan,0.5085000000000001,1.847516576497782
50,0.0,heldout,0.08285714285714285,0.26571428571428574,0.43714285714285717,0.5885714285714285,9,10,0.06800000000000002,0.5558266639709473,0.27726233026255054,0.23221969015535937,0.1478521133973769,0.27726233026255054,0.27802600395869376,0.2765028403476656,nan,nan,nan,nan,nan,0.47628571428571426,1.847516576497782
50,0.3,aggregate,0.205,0.3725,0.5,0.655,7,10,0.1115,0.6263430714607239,0.3187324019656614,0.2819721800091066,0.1584179151180367,0.3187324019656614,0.32095086697497616,0.31654439521157357,nan,nan,nan,nan,nan,0.5115,2.2192854907725104
