K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift,cat_precision_10,plan_row_entropy
10,0.0,aggregate,0.065,0.1725,0.2425,0.355,7,10,0.0955,0.5512720942497253,0.37557252205211805,0.342334696271781,0.217160703649901,0.375572522052118,0.371905090407873,0.3793130046434626,nan,nan,nan,nan,nan,0.42975,2.6069203851882383
10,0.0,heldout,0.04358974358974359,0.15128205128205127,0.2230769230769231,0.3384615384615385,9,10,0.09025641025641025,0.5415696501731873,0.293976930665306,0.2545453838245234,0.12130350525508113,0.29397693066530595,0.29497023654020693,0.29299029221000045,nan,nan,nan,nan,nan,0.42000000000000004,2.6069203851882383
10,0.3,aggregate,0.0675,0.2,0.265,0.37,7,10,0.1185,0.6393252611160278,0.3797291369262638,0.34661138334279906,0.21436854756161483,0.37972913692626387,0.3749662986062964,0.3846145274711328,nan,nan,nan,nan,nan,0.4425,2.944310441563988
10,0.3,heldout,0.046153846153846156,0.1794871794871795,0.24615384615384617,0.35384615384615387,9,10,0.11128205128205128,0.6333637833595276,0.31509195155536907,0.27673841466883703,0.13081933292730102,0.315091951555369,0.3152139949583894,0.31497000262041075,nan,nan,nan,nan,nan,0.4317948717948718,2.944310441563988
10,0.5,aggregate,0.0825,0.21,0.2775,0.375,7,10,0.133,0.683096706867218,0.3998205691090571,0.3677717027245764,0.23199858158459932,0.39982056910905717,0.39474985020068376,0.4050232539770264,nan,nan,nan,nan,nan,0.44550000000000006,3.243523348026074
10,0.5,heldout,0.05897435897435897,0.18974358974358974,0.258974358974359,0.358974358974359,9,10,0.12205128205128206,0.6777262687683105,0.333829737091715,0.2965206156922178,0.14889235927408173,0.333829737091715,0.33393163176066093,0.3337279045873288,nan,nan,nan,nan,nan,0.43487179487179484,3.243523348026074
10,0.7,aggregate,0.09,0.2,0.2875,0.3775,7,10,0.13649999999999998,0.7188801169395447,0.39382554996018787,0.3614913890343725,0.2390159901937392,0.39382554996018776,0.3897764073829304,0.39795970366892036,nan,nan,nan,nan,nan,0.45475,3.681690612077974
10,0.7,heldout,0.07179487179487179,0.1794871794871795,0.2692307692307692,0.36153846153846153,9,10,0.12717948717948716,0.7132986187934875,0.3317296701866315,0.29432037898406255,0.14366463191698384,0.3317296701866315,0.33276338749516615,0.33070235539902093,nan,nan,nan,nan,nan,0.44435897435897437,3.681690612077974
10,0.9,aggregate,0.09,0.195,0.275,0.4,7,10,0.139,0.7475398182868958,0.4344593476723277,0.4043529607222956,0.25851915220529953,0.4344593476723277,0.43084416674100545,0.43813571140538066,nan,nan,nan,nan,nan,0.45400000000000007,4.427885077799209
10,0.9,heldout,0.07435897435897436,0.1794871794871795,0.258974358974359,0.3871794871794872,8,10,0.1358974358974359,0.7446640133857727,0.37434830300471605,0.33932711080425415,0.16895601899397647,0.37434830300471605,0.37625743430278824,0.37245844777515347,nan,nan,nan,nan,nan,0.44333333333333336,4.427885077799209
20,0.0,aggregate,0.0925,0.215,0.295,0.44,8,10,0.11200000000000002,0.5695232152938843,0.3796143548142882,0.3465249153883046,0.2059114699430799,0.37961435481428824,0.37537667626259613,0.3839488053011217,nan,nan,nan,nan,nan,0.46125,2.229402596216656
20,0.0,heldout,0.05,0.1736842105263158,0.2578947368421053,0.4105263157894737,8,10,0.09526315789473683,0.5520472526550293,0.34362417048665583,0.3057865599694092,0.1759619041243152,0.3436241704866558,0.34441695804242156,0.34283502426556606,nan,nan,nan,nan,nan,0.4394736842105263,2.229402596216656
20,0.3,aggregate,0.1075,0.2175,0.3125,0.455,9,10,0.122,0.6537014245986938,0.39137574322253843,0.3590751726125051,0.22063529702611134,0.3913757432225383,0.3884896779259251,0.3943050102559794,nan,nan,nan,nan,nan,0.46724999999999994,2.5849522752650613
20,0.3,heldout,0.060526315789473685,0.1763157894736842,0.27631578947368424,0.4263157894736842,8,10,0.10947368421052633,0.6397538185119629,0.3569850735900302,0.3200902770934081,0.1963449753326768,0.3569850735900302,0.35923781102913693,0.3547604133772358,nan,nan,nan,nan,nan,0.44578947368421057,2.5849522752650613
20,0.5,aggregate,0.1125,0.2275,0.3125,0.455,9,10,0.1275,0.685202419757843,0.4074080347697601,0.3757145007050705,0.23368965703809438,0.40740803476976006,0.40209502788657325,0.41286332653808067,nan,nan,nan,nan,nan,0.47375,2.925744143067718
20,0.5,heldout,0.06578947368421052,0.1868421052631579,0.27631578947368424,0.4263157894736842,8,10,0.11368421052631579,0.6744894981384277,0.3613971024657966,0.3244806985955571,0.20887136191931913,0.3613971024657966,0.36150696636634877,0.3612873053214108,nan,nan,nan,nan,nan,0.4531578947368421,2.925744143067718
20,0.7,aggregate,0.1125,0.2275,0.3175,0.46,8,10,0.1375,0.7193142175674438,0.41829393745525323,0.38706212278649943,0.24342389311009602,0.41829393745525323,0.4118987627670193,0.42489082803698536,nan,nan,nan,nan,nan,0.47650000000000003,3.4309688961200195
20,0.7,heldout,0.06842105263157895,0.1868421052631579,0.28157894736842104,0.43157894736842106,8,10,0.12789473684210526,0.7104544043540955,0.37421847422991644,0.3378775140142813,0.22469703178757472,0.37421847422991644,0.3734083351696924,0.37503213625565,nan,nan,nan,nan,nan,0.4557894736842106,3.4309688961200195
20,0.9,aggregate,0.1025,0.215,0.315,0.4225,7,10,0.141,0.7494211792945862,0.4481518373458542,0.41872383023740795,0.26561911042244835,0.4481518373458541,0.44373968887228404,0.4526526078718235,nan,nan,nan,nan,nan,0.47450000000000003,4.292985771554387
20,0.9,heldout,0.06578947368421052,0.17894736842105263,0.28421052631578947,0.39473684210526316,8,10,0.1368421052631579,0.7435997128486633,0.42190652613666185,0.3885210831436253,0.2754390630797611,0.42190652613666185,0.423481985789568,0.42034274524927095,nan,nan,nan,nan,nan,0.4560526315789474,4.292985771554387
50,0.0,aggregate,0.1775,0.315,0.445,0.555,8,10,0.1305,0.5711907148361206,0.38649041344243884,0.35385226555263316,0.2125565206276059,0.3864904134424388,0.38299684706784987,0.39004830076830577,nan,nan,nan,nan,nan,0.48475,1.6623090356642303
50,0.0,heldout,0.06571428571428571,0.21714285714285714,0.3657142857142857,0.49142857142857144,7,10,0.08342857142857144,0.5453451871871948,0.3115948262411069,0.26814860857556955,0.15050245290087252,0.31159482624110685,0.3117356211141069,0.3114541584902311,nan,nan,nan,nan,nan,0.44028571428571434,1.6623090356642303
50,0.3,aggregate,0.1875,0.3275,0.4525,0.57,8,10,0.1425,0.6264195442199707,0.4084924925881604,0.3769875555644767,0.22540252443253767,0.40849249258816045,0.40427970930258483,0.41279399874412126,nan,nan,nan,nan,nan,0.49174999999999996,2.0114145905936573
50,0.3,heldout,0.07714285714285714,0.23142857142857143,0.3742857142857143,0.5085714285714286,7,10,0.09485714285714285,0.6103991866111755,0.31556421249400146,0.27234343735351785,0.155337163401599,0.3155642124940014,0.3152242833548677,0.3159048755649301,nan,nan,nan,nan,nan,0.4491428571428571,2.0114145905936573
50,0.5,aggregate,0.2,0.3375,0.4625,0.565,8,10,0.1405,0.6495026350021362,0.4030025089255409,0.3712599397014889,0.22077158601313948,0.40300250892554085,0.39945627605028333,0.4066122702099528,nan,nan,nan,nan,nan,0.48825,2.367602971473817
50,0.5,heldout,0.08857142857142856,0.24285714285714285,0.38571428571428573,0.5028571428571429,7,10,0.09942857142857142,0.6377161145210266,0.3115465888081236,0.2681161710022257,0.15690446487319154,0.3115465888081236,0.3118085507217405,0.3112850666928305,nan,nan,nan,nan,nan,0.4451428571428572,2.367602971473817
50,0.7,aggregate,0.1875,0.3425,0.4525,0.565,8,10,0.138,0.6827250123023987,0.3997101029762128,0.3678612352775857,0.22108858778156498,0.3997101029762128,0.396760248855475,0.40270414912158975,nan,nan,nan,nan,nan,0.49300000000000005,2.947814389450954
50,0.7,heldout,0.08,0.24857142857142858,0.3742857142857143,0.5028571428571429,7,10,0.104,0.6727142333984375,0.313216467454529,0.26999860969591055,0.17246578828309683,0.313216467454529,0.31401612353469777,0.31242087374917094,nan,nan,nan,nan,nan,0.4508571428571428,2.947814389450954
50,0.9,aggregate,0.16,0.3,0.4075,0.5025,7,10,0.142,0.7317912578582764,0.41030838393537544,0.37890546670169956,0.24362410961766381,0.41030838393537544,0.40671900293276164,0.41396168311854975,nan,nan,nan,nan,nan,0.49075,4.067310198642042
50,0.9,heldout,0.07714285714285714,0.21714285714285714,0.3342857142857143,0.43714285714285717,7,10,0.11714285714285715,0.7221860289573669,0.31649673989989197,0.27331450300872295,0.17708720790594684,0.31649673989989197,0.3172619866061789,0.31573517591294564,nan,nan,nan,nan,nan,0.4522857142857143,4.067310198642042
100,0.0,aggregate,0.34,0.4725,0.6,0.695,9,10,0.1555,0.5714632272720337,0.3735180509623802,0.340270461457295,0.2025944696028008,0.3735180509623802,0.3700176959363558,0.3770852649549015,nan,nan,nan,nan,nan,0.5407500000000001,1.141966744764342
100,0.0,heldout,0.12666666666666668,0.2966666666666667,0.4666666666666667,0.5933333333333334,8,10,0.08199999999999999,0.5425608158111572,0.29043113734956194,0.23792982655678824,0.13024527509783698,0.29043113734956194,0.28962964663458757,0.29123707629683654,nan,nan,nan,nan,nan,0.469,1.141966744764342
100,0.3,aggregate,0.34,0.4725,0.6,0.695,9,10,0.1545,0.5952123999595642,0.3809940405093832,0.3482337564010405,0.20818875773300904,0.3809940405093831,0.3780533704686229,0.3839808169084659,nan,nan,nan,nan,nan,0.54625,1.4273645939104984
100,0.3,heldout,0.12666666666666668,0.2966666666666667,0.4666666666666667,0.5933333333333334,8,10,0.09133333333333332,0.5752862691879272,0.3077220912064976,0.2566102105314018,0.14132257818178734,0.3077220912064976,0.3073787268109492,0.3080662235859499,nan,nan,nan,nan,nan,0.47400000000000003,1.4273645939104984
100,0.5,aggregate,0.3525,0.4775,0.5975,0.695,9,10,0.1605,0.625099778175354,0.3923936375751152,0.36015491967277796,0.21627025298526523,0.3923936375751152,0.38908062223688866,0.39576355800560475,nan,nan,nan,nan,nan,0.5485000000000001,1.7533422747082097
100,0.5,heldout,0.14,0.30333333333333334,0.4633333333333333,0.5933333333333334,8,10,0.10133333333333333,0.6195361614227295,0.3392961418916386,0.29036273626756576,0.1582423613817743,0.3392961418916386,0.3389212464349072,0.3396718676429697,nan,nan,nan,nan,nan,0.4766666666666667,1.7533422747082097
100,0.7,aggregate,0.3325,0.4825,0.5875,0.695,8,10,0.152,0.6516191959381104,0.3799869364454837,0.3470818950947144,0.21011999071744275,0.3799869364454837,0.3767280742813487,0.3833026717453968,nan,nan,nan,nan,nan,0.5515000000000001,2.353759816110205
100,0.7,heldout,0.12,0.31666666666666665,0.45,0.5933333333333334,8,10,0.1,0.6470231413841248,0.3310584539604704,0.28151329182161666,0.15655017364237342,0.3310584539604704,0.33069584401938484,0.3314218599823363,nan,nan,nan,nan,nan,0.48033333333333333,2.353759816110205
100,0.9,aggregate,0.28,0.4425,0.5175,0.6125,8,10,0.136,0.7001319527626038,0.3984772188939247,0.36649136393730813,0.22768043639821078,0.39847721889392473,0.3947874213008918,0.40223663903361734,nan,nan,nan,nan,nan,0.539,3.754256526557009
100,0.9,heldout,0.09333333333333334,0.29,0.37666666666666665,0.5,8,10,0.10066666666666668,0.6954411268234253,0.3240976501920305,0.27389507602229907,0.16894871094912742,0.3240976501920306,0.3235893204595889,0.32460757951791347,nan,nan,nan,nan,nan,0.474,3.754256526557009
160,0.0,aggregate,0.4925,0.66,0.735,0.825,9,10,0.1655,0.5611636638641357,0.3918188836017171,0.3595242758279981,0.22200717022065794,0.3918188836017171,0.3882842305528971,0.3954184816064566,nan,nan,nan,nan,nan,0.5870000000000001,0.7871943751931597
160,0.0,heldout,0.1625,0.4375,0.5625,0.7125,8,10,0.09416666666666668,0.5240780115127563,0.280665750098061,0.21170478223597672,0.10306376105251012,0.28066575009806094,0.27571111455228065,0.2858017176916031,nan,nan,nan,nan,nan,0.47250000000000003,0.7871943751931597
160,0.3,aggregate,0.5,0.6625,0.7425,0.8225,9,10,0.15600000000000003,0.5824935436248779,0.3913912432700244,0.35913674083193714,0.21806258664237602,0.39139124327002445,0.3883612733583581,0.39446886421644184,nan,nan,nan,nan,nan,0.5925,1.0170709879361488
160,0.3,heldout,0.18333333333333332,0.44166666666666665,0.575,0.7083333333333334,8,10,0.09333333333333332,0.5583968758583069,0.2795390710902672,0.21074391455152047,0.10327530017752046,0.2795390710902672,0.2756257677224695,0.2835650961418845,nan,nan,nan,nan,nan,0.47833333333333333,1.0170709879361488
160,0.5,aggregate,0.5,0.66,0.755,0.8225,9,10,0.1625,0.6017624735832214,0.3775161189405869,0.3444976591800855,0.21114761372617952,0.3775161189405869,0.37439622751307394,0.38068844421089243,nan,nan,nan,nan,nan,0.597,1.3133287106984943
160,0.5,heldout,0.18333333333333332,0.4375,0.5958333333333333,0.7083333333333334,8,10,0.09833333333333334,0.5970631837844849,0.28781277000989886,0.21973514857388185,0.1035131652388977,0.2878127700098988,0.28354408679234827,0.2922119456100835,nan,nan,nan,nan,nan,0.48041666666666666,1.3133287106984943
160,0.7,aggregate,0.5025,0.6475,0.725,0.815,9,10,0.1595,0.6284051537513733,0.4058111142837159,0.37434224846580644,0.23557545096003066,0.40581111428371597,0.4028740922710629,0.40879127357442746,nan,nan,nan,nan,nan,0.594,1.920935113264146
160,0.7,heldout,0.19583333333333333,0.425,0.55,0.6958333333333333,8,10,0.09416666666666668,0.624876081943512,0.2893645884714408,0.22155085665150395,0.1056924041586105,0.2893645884714408,0.285372580862358,0.2934698670470778,nan,nan,nan,nan,nan,0.4741666666666667,1.920935113264146
160,0.9,aggregate,0.4125,0.5575,0.6375,0.7325,8,10,0.1475,0.6912459135055542,0.41057061204306405,0.37934624687216545,0.24973205746824698,0.41057061204306405,0.4075518772094996,0.4136344000949723,nan,nan,nan,nan,nan,0.57325,3.495252401197799
