K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift,cat_precision_10,plan_row_entropy
10,0.0,aggregate,0.015,0.045,0.065,0.0875,4,20,0.08449999999999999,0.4957982897758484,0.4322789718234434,0.3251198590396982,0.14112100967151905,0.4322789718234433,0.42086254621334823,0.4443320368698522,nan,nan,nan,nan,nan,0.10375,4.659286560918778
10,0.0,heldout,0.007692307692307693,0.03333333333333333,0.05384615384615385,0.07435897435897436,4,20,0.08307692307692309,0.49434545636177063,0.4313995619016139,0.3224527886285905,0.14209808283150968,0.43139956190161394,0.42153743617291656,0.44173420333101576,nan,nan,nan,nan,nan,0.09923076923076923,4.659286560918778
10,0.3,aggregate,0.0175,0.0425,0.0725,0.1175,3,20,0.09649999999999999,0.7036272287368774,0.4286943171405639,0.3190305127459657,0.14119022746052742,0.4286943171405639,0.41770435060541483,0.4402782108598709,nan,nan,nan,nan,nan,0.11199999999999999,4.681148944358527
10,0.3,heldout,0.005128205128205128,0.028205128205128206,0.05897435897435897,0.10256410256410256,4,20,0.0917948717948718,0.7056422829627991,0.44931101475014923,0.34106100458777855,0.16117884580869926,0.4493110147501493,0.4399375278749808,0.45909262793328776,nan,nan,nan,nan,nan,0.1076923076923077,4.681148944358527
10,0.5,aggregate,0.0125,0.04,0.07,0.12,7,20,0.10549999999999998,0.7339562773704529,0.4298863024808193,0.32014002599951563,0.14178754603868207,0.4298863024808193,0.4196658544750038,0.44061698973117963,nan,nan,nan,nan,nan,0.10875,4.687313398683573
10,0.5,heldout,0.007692307692307693,0.02564102564102564,0.05384615384615385,0.10512820512820513,4,20,0.1041025641025641,0.7323880791664124,0.45301620644028145,0.3453008541575154,0.1804744411869384,0.45301620644028145,0.4442984707754048,0.46208289654228846,nan,nan,nan,nan,nan,0.10538461538461538,4.687313398683573
10,0.7,aggregate,0.005,0.0275,0.05,0.09,5,20,0.11699999999999999,0.7768604159355164,0.46512195111296334,0.3585105838949493,0.16089596676090984,0.4651219511129633,0.45425289300140526,0.47652389479650786,nan,nan,nan,nan,nan,0.09975000000000002,4.675010535669766
10,0.7,heldout,0.0,0.023076923076923078,0.04358974358974359,0.07948717948717948,3,20,0.12,0.7759863138198853,0.46812614721663465,0.35963771354007046,0.17724947969104887,0.4681261472166347,0.45980610854396137,0.4767528312019065,nan,nan,nan,nan,nan,0.09820512820512822,4.675010535669766
10,0.9,aggregate,0.005,0.02,0.0325,0.075,5,20,0.12299999999999998,0.7913028597831726,0.47299780056305096,0.3695380762479105,0.18398211279458368,0.47299780056305096,0.4604453295396255,0.4862538529265135,nan,nan,nan,nan,nan,0.088,4.63940514934703
10,0.9,heldout,0.005128205128205128,0.020512820512820513,0.03076923076923077,0.06923076923076923,4,20,0.12205128205128203,0.7895470857620239,0.49072871486292635,0.38844487276496237,0.2143676501535585,0.49072871486292635,0.4801542246979407,0.5017794600024185,nan,nan,nan,nan,nan,0.08743589743589743,4.63940514934703
20,0.0,aggregate,0.02,0.0625,0.0925,0.1375,5,20,0.08,0.48882198333740234,0.4212866305263577,0.3038635688079838,0.13099795109196516,0.42128663052635773,0.4165838123566324,0.4260968413607102,nan,nan,nan,nan,nan,0.11800000000000001,4.07059842697198
20,0.0,heldout,0.005263157894736842,0.04473684210526316,0.06842105263157895,0.11578947368421053,6,20,0.07052631578947369,0.49440130591392517,0.41222918534399405,0.288021602715253,0.12228025765910003,0.4122291853439941,0.41079401526066234,0.4136744185452594,nan,nan,nan,nan,nan,0.10578947368421053,4.07059842697198
20,0.3,aggregate,0.0175,0.05,0.0825,0.1425,5,20,0.092,0.6603471040725708,0.45353846411080456,0.3428421123019566,0.16068030981433876,0.45353846411080456,0.4478731992658359,0.4593488879331022,nan,nan,nan,nan,nan,0.12175000000000001,4.226839941657534
20,0.3,heldout,0.005263157894736842,0.034210526315789476,0.06315789473684211,0.12105263157894737,3,20,0.08473684210526317,0.6623958945274353,0.4390438998455874,0.3204746832826416,0.1400684831516626,0.4390438998455874,0.4369692503863508,0.4411383433899634,nan,nan,nan,nan,nan,0.11105263157894738,4.226839941657534
20,0.5,aggregate,0.02,0.05,0.0775,0.1225,5,20,0.1215,0.7225670218467712,0.4562071237328982,0.3466558959288365,0.1652640986713516,0.4562071237328982,0.45090875665198893,0.46163148739908044,nan,nan,nan,nan,nan,0.12075,4.3370638230574174
20,0.5,heldout,0.005263157894736842,0.034210526315789476,0.06315789473684211,0.10263157894736842,3,20,0.11578947368421053,0.7246370315551758,0.43056756924218126,0.3106870292954176,0.13705255759334783,0.4305675692421813,0.4290193921758771,0.4321269604073249,nan,nan,nan,nan,nan,0.1118421052631579,4.3370638230574174
20,0.7,aggregate,0.0125,0.0325,0.06,0.1025,5,20,0.136,0.7476159334182739,0.4621071221241129,0.3535871110402431,0.17043428442752298,0.46210712212411287,0.4561996059575958,0.4681696432220906,nan,nan,nan,nan,nan,0.1075,4.4710701641494275
20,0.7,heldout,0.002631578947368421,0.02368421052631579,0.04736842105263158,0.0868421052631579,3,20,0.12789473684210526,0.7481594085693359,0.44529919097068027,0.3284922060006469,0.15984895489263856,0.4452991909706802,0.4430830228838495,0.44753763971179766,nan,nan,nan,nan,nan,0.10052631578947369,4.4710701641494275
20,0.9,aggregate,0.0075,0.025,0.04,0.0775,3,20,0.13299999999999998,0.7964167594909668,0.4805504875476625,0.37754939924251396,0.1998961159426237,0.4805504875476625,0.4700095811161459,0.49157504265653124,nan,nan,nan,nan,nan,0.08925000000000001,4.591877267712564
20,0.9,heldout,0.002631578947368421,0.018421052631578946,0.034210526315789476,0.07105263157894737,1,20,0.13473684210526315,0.7976643443107605,0.4684595746004405,0.3580936634399175,0.18360705268264182,0.4684595746004405,0.46200878213544927,0.47509305609457814,nan,nan,nan,nan,nan,0.08736842105263158,4.591877267712564
50,0.0,aggregate,0.0475,0.085,0.11,0.17,3,20,0.08800000000000001,0.4631434977054596,0.3803131534466794,0.25533998777524236,0.10371702738479238,0.3803131534466794,0.3749501419526042,0.38583180830555414,nan,nan,nan,nan,nan,0.145,3.6334039320770586
50,0.0,heldout,0.008571428571428572,0.04285714285714286,0.06,0.12571428571428572,7,20,0.09257142857142858,0.4760446846485138,0.37263499069008743,0.2335735196126623,0.10770830870736452,0.37263499069008743,0.3705687535658034,0.3747243990854661,nan,nan,nan,nan,nan,0.12571428571428572,3.6334039320770586
50,0.3,aggregate,0.035,0.065,0.1075,0.175,4,20,0.0875,0.5778236985206604,0.38121048131963264,0.2550219343903169,0.10365417087981853,0.38121048131963264,0.3764935648977762,0.38604708950062455,nan,nan,nan,nan,nan,0.14550000000000002,3.929889948651803
50,0.3,heldout,0.002857142857142857,0.022857142857142857,0.06857142857142857,0.14,7,20,0.08171428571428571,0.5916156768798828,0.3917294503076764,0.2541321235482053,0.11380858521030525,0.39172945030767653,0.39097426195512736,0.39248756168211973,nan,nan,nan,nan,nan,0.12942857142857142,3.929889948651803
50,0.5,aggregate,0.015,0.0525,0.1025,0.175,4,20,0.10899999999999999,0.666898250579834,0.40600664895591915,0.2862454444176844,0.12764071650595452,0.40600664895591915,0.4002832563429469,0.41189608594397076,nan,nan,nan,nan,nan,0.13975,4.140250739655945
50,0.5,heldout,0.0,0.02857142857142857,0.07142857142857142,0.1457142857142857,7,20,0.104,0.6739548444747925,0.39632439295953376,0.260736030011695,0.12063538676764872,0.3963243929595337,0.3949728628141466,0.39768520427736903,nan,nan,nan,nan,nan,0.1262857142857143,4.140250739655945
50,0.7,aggregate,0.0075,0.0425,0.0725,0.155,4,20,0.12149999999999998,0.7053090333938599,0.4217281686474894,0.3055490642922055,0.14705409096078983,0.4217281686474894,0.41496234508911767,0.4287182781368208,nan,nan,nan,nan,nan,0.128,4.379406753856655
