K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift,cat_precision_10,plan_row_entropy
10,0.0,aggregate,0.0,0.025,0.055,0.09,4,15,0.0455,0.16407540440559387,0.23425091404382276,0.14431028913560268,0.05768563129734744,0.23425091404382276,0.23224760819273926,0.23628908055631825,0.21573814833469596,0.2284612094609158,0.21744189226661895,0.38759736589986515,-0.0017037439319229908,0.08574999999999999,5.50723360636712
10,0.0,heldout,0.0,0.0,0.0,0.038461538461538464,3,15,0.038461538461538464,0.10603586584329605,0.6940761767493052,0.027812140954105575,0.01466544454628781,0.6940761767493052,0.6694664559322002,0.7205642631807129,0.19060726717852716,0.20415666653781545,0.19460491369210678,0.5783881885624559,-0.003997646513579617,0.15384615384615385,5.50723360636712
10,0.3,aggregate,0.005,0.0275,0.04,0.0725,4,15,0.0385,0.3043234944343567,0.2571103897303564,0.1705023995720263,0.08327463766132917,0.2571103897303564,0.2536258070422418,0.2606920561082279,0.2467684847419259,0.23026682836626186,0.21744189226661895,0.38759736589986515,0.029326592475306945,0.09475000000000001,5.538386361882178
10,0.3,heldout,0.0,0.0,0.0,0.07692307692307693,1,15,0.02307692307692308,0.3030703067779541,0.6994989483265197,0.03891280607651791,0.02504874756262187,0.6994989483265197,0.6775102747945942,0.7229627883907525,0.2028403510289508,0.20164468716957387,0.19460491369210678,0.5783881885624559,0.00823543733684401,0.14615384615384613,5.538386361882178
10,0.5,aggregate,0.0025,0.025,0.0425,0.0675,3,15,0.049,0.3824939727783203,0.3165130048210181,0.23791251669401214,0.1141484898860201,0.31651300482101813,0.3106123401819121,0.3226421992210607,0.24445863571397566,0.2303135715204668,0.21744189226661895,0.38759736589986515,0.027016743447356717,0.09449999999999999,5.570331858501057
10,0.5,heldout,0.0,0.0,0.0,0.038461538461538464,2,15,0.02307692307692308,0.3892183303833008,0.6994989483265195,0.04663224944249592,0.03273809523809524,0.6994989483265196,0.677510274794594,0.7229627883907522,0.18294994950011045,0.20072389074522226,0.19460491369210678,0.5783881885624559,-0.011654964191996325,0.0923076923076923,5.570331858501057
10,0.7,aggregate,0.0025,0.0175,0.0275,0.0675,3,15,0.068,0.47214797139167786,0.34148859999895154,0.2651543410663837,0.12879992746390648,0.3414885999989515,0.32781743743096003,0.35634965849069355,0.255681243215403,0.22975881543980467,0.21744189226661895,0.38759736589986515,0.03823935094878403,0.10099999999999999,5.618187823658972
10,0.7,heldout,0.0,0.0,0.038461538461538464,0.07692307692307693,3,15,0.04615384615384615,0.43446558713912964,0.757070414520473,0.3328636528017158,0.2129093397915131,0.7570704145204729,0.6925337807780702,0.8348713667855345,0.22763873504433946,0.2002707626066842,0.19460491369210678,0.5783881885624559,0.03303382135223268,0.09230769230769229,5.618187823658972
10,0.9,aggregate,0.0,0.0175,0.035,0.0575,4,15,0.077,0.5432615280151367,0.4059828497610195,0.3454898362576334,0.17622223381220525,0.40598284976101945,0.3695276492813458,0.45041818577453635,0.26651757537304294,0.22801809739049897,0.21744189226661895,0.38759736589986515,0.04907568310642399,0.09974999999999999,5.713472995802631
10,0.9,heldout,0.0,0.038461538461538464,0.038461538461538464,0.07692307692307693,3,15,0.08461538461538463,0.49276500940322876,0.76671898698795,0.39551447623855845,0.3611239592969473,0.7667189869879499,0.6935979125193817,0.8570741988281376,0.23062272490355445,0.19831746289332883,0.19460491369210678,0.5783881885624559,0.036017811211447676,0.07307692307692307,5.713472995802631
20,0.0,aggregate,0.01,0.035,0.045,0.095,4,15,0.025,0.06721515208482742,0.2194003239504381,0.126021213360007,0.04405394486260169,0.2194003239504381,0.22247018358740067,0.21641403296102854,0.24498611670388754,0.24326472234475674,0.21744189226661895,0.38759736589986515,0.02754422443726859,0.11875,5.09661290203764
20,0.0,heldout,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,4,15,0.015384615384615385,0.1459330916404724,0.7242413083731734,0.11045618716292195,0.07379631018449077,0.7242413083731732,0.702981115131098,0.7468275451681968,0.22716973762318673,0.2119694917794934,0.19460491369210678,0.5783881885624559,0.032564823931079956,0.10769230769230768,5.09661290203764
20,0.3,aggregate,0.0075,0.035,0.065,0.1125,5,15,0.035,0.19618795812129974,0.23792043642825342,0.1465691571180982,0.06063055097298889,0.2379204364282534,0.23762438629228702,0.23821722516698782,0.26177351260977816,0.24435418886711355,0.21744189226661895,0.38759736589986515,0.04433162034315921,0.13225,5.256110506149678
20,0.3,heldout,0.0,0.0,0.0,0.07692307692307693,4,15,0.015384615384615385,0.10391470789909363,0.71120494149794,-0.010634442689585757,-0.008893363537209497,0.71120494149794,0.7068653985582897,0.7155980956542436,0.23227661716595996,0.2083976723546366,0.19460491369210678,0.5783881885624559,0.03767170347385318,0.11923076923076924,5.256110506149678
20,0.5,aggregate,0.0075,0.035,0.0675,0.115,5,15,0.0435,0.2516915500164032,0.2868655025386776,0.20207199920122146,0.09981460124361728,0.2868655025386776,0.2842281449535685,0.28955226269903944,0.23519691714914864,0.24337267522728057,0.21744189226661895,0.38759736589986515,0.017755024882529696,0.13025,5.374214612891585
20,0.5,heldout,0.0,0.0,0.038461538461538464,0.038461538461538464,3,15,0.04615384615384615,0.3342970907688141,0.7853616673325969,0.22114662009268504,0.1547109656850407,0.7853616673325969,0.7868869509869826,0.7838422853883169,0.2095129580566107,0.20534582627568276,0.19460491369210678,0.5783881885624559,0.014908044364503908,0.12307692307692308,5.374214612891585
20,0.7,aggregate,0.0075,0.0325,0.07,0.125,4,15,0.05399999999999999,0.36744850873947144,0.3397992844287667,0.26091827302725173,0.1334476134435238,0.3397992844287667,0.3320595148781373,0.3479084673966172,0.25321482869459094,0.24080432753398398,0.21744189226661895,0.38759736589986515,0.035772936427971996,0.13075,5.513396631992921
20,0.7,heldout,0.0,0.0,0.038461538461538464,0.038461538461538464,3,15,0.04615384615384615,0.2670862078666687,0.6920035867257477,0.08417993431335083,0.052478134110787174,0.6920035867257477,0.6551348381519806,0.733269486119554,0.20573718420024936,0.2031291293883147,0.19460491369210678,0.5783881885624559,0.011132270508142583,0.10769230769230768,5.513396631992921
20,0.9,aggregate,0.0025,0.0075,0.03,0.07,2,15,0.049,0.5116891860961914,0.35901869480164134,0.29222259034491604,0.15463708590984052,0.35901869480164134,0.33252969906598734,0.3900931387306105,0.2561457255642531,0.23172189300695262,0.21744189226661895,0.38759736589986515,0.03870383329763413,0.099,5.6753917507445895
20,0.9,heldout,0.0,0.0,0.038461538461538464,0.07692307692307693,1,15,0.05384615384615384,0.43279585242271423,0.664750130804575,0.22310535766206227,0.17018708509354255,0.664750130804575,0.5740491539819762,0.7894914437050772,0.21053532712062956,0.19974057886353824,0.19460491369210678,0.5783881885624559,0.015930413428522777,0.04615384615384616,5.6753917507445895
50,0.0,aggregate,0.01,0.03,0.065,0.1075,6,15,0.025,0.07263810932636261,0.19531387890036866,0.0984335218830088,0.035140496088016684,0.19531387890036866,0.19953392950420953,0.19126863545454784,0.23301944011730236,0.2513019057554126,0.21744189226661895,0.38759736589986515,0.01557754785068341,0.12899999999999998,4.636230149858019
50,0.0,heldout,0.0,0.0,0.0,0.07692307692307693,2,15,0.02307692307692308,0.03650341182947159,0.742945714362167,0.14139338076385918,0.12254387280635969,0.7429457143621672,0.7271125717182796,0.7594837513014174,0.1972637466283245,0.21149751795284719,0.19460491369210678,0.5783881885624559,0.0026588329362177143,0.0923076923076923,4.636230149858019
50,0.3,aggregate,0.0075,0.015,0.05,0.1025,6,15,0.019,0.10411135107278824,0.20000110655293538,0.10347121657572321,0.045238747037686065,0.20000110655293538,0.2029281042756058,0.19715734519978267,0.2288585428786594,0.2517511111663294,0.21744189226661895,0.38759736589986515,0.011416650612040447,0.1265,4.947230054503125
50,0.3,heldout,0.0,0.0,0.0,0.07692307692307693,3,15,0.007692307692307693,0.0739465206861496,0.6905303357178083,0.03784071124123327,0.02504874756262187,0.6905303357178083,0.6642427887556863,0.7189842889730832,0.2092357099260889,0.21570210650886926,0.19460491369210678,0.5783881885624559,0.014630796233982113,0.0923076923076923,4.947230054503125
50,0.5,aggregate,0.0075,0.025,0.055,0.1025,6,15,0.02,0.17093832790851593,0.20904569377841506,0.11353562188415843,0.05045041634643592,0.2090456937784151,0.21067444676834038,0.20744193180421835,0.23160877045490869,0.2501081056033497,0.21744189226661895,0.38759736589986515,0.014166878188289739,0.12475000000000001,5.158937615599577
50,0.5,heldout,0.0,0.0,0.0,0.07692307692307693,2,15,0.007692307692307693,0.12111006677150726,0.7216165048991114,0.05054516538528524,0.03273809523809524,0.7216165048991114,0.711024933993492,0.73252839570998,0.2002522073058302,0.21513533791515696,0.19460491369210678,0.5783881885624559,0.005647293613723431,0.09230769230769233,5.158937615599577
50,0.7,aggregate,0.005,0.045,0.065,0.1175,5,15,0.031000000000000007,0.2678058445453644,0.2384062642269162,0.14719281358327838,0.08288680599151295,0.23840626422691621,0.23731517399262947,0.23950743368666055,0.2438364741935249,0.24682257787474154,0.21744189226661895,0.38759736589986515,0.02639458192690594,0.11875,5.393281579903155
50,0.7,heldout,0.0,0.0,0.0,0.11538461538461539,2,15,0.007692307692307693,0.13433587551116943,0.7569713647564947,0.21242078135200473,0.178223890889587,0.7569713647564948,0.7362205223219853,0.7789258849256345,0.22285822686364304,0.20933065512991458,0.19460491369210678,0.5783881885624559,0.02825331317153626,0.1076923076923077,5.393281579903155
50,0.9,aggregate,0.005,0.0225,0.06,0.1125,2,15,0.049,0.42083632946014404,0.341278960005098,0.26390447039146275,0.14507082146159445,0.341278960005098,0.3306801462320153,0.3525796882105751,0.2389025922523258,0.2375064310401248,0.21744189226661895,0.38759736589986515,0.02146069998570685,0.11449999999999999,5.64136179136838
50,0.9,heldout,0.0,0.0,0.038461538461538464,0.07692307692307693,2,15,0.05384615384615385,0.40578693151474,0.7022998472910883,0.18162426147255248,0.18410041841004185,0.7022998472910882,0.6470910192895869,0.7678080718081904,0.21402101521667038,0.20133709517774181,0.19460491369210678,0.5783881885624559,0.019416101524563606,0.04615384615384615,5.64136179136838
100,0.0,aggregate,0.015,0.0775,0.1125,0.1675,3,15,0.022000000000000002,0.050393134355545044,0.1805605010880565,0.08194784648320452,0.027022616280869802,0.18056050108805652,0.1847279601150985,0.17657692915389314,0.2548512085487669,0.2651268385246633,0.21744189226661895,0.38759736589986515,0.03740931628214797,0.131,4.015172931036975
100,0.0,heldout,0.0,0.0,0.038461538461538464,0.07692307692307693,2,15,0.02307692307692308,0.059882789850234985,0.677495982584862,-0.03145888974577589,-0.02369881505924704,0.677495982584862,0.6561989698932923,0.7002217599681769,0.20988544340448007,0.2190060189457287,0.19460491369210678,0.5783881885624559,0.015280529712373286,0.06153846153846154,4.015172931036975
100,0.3,aggregate,0.01,0.065,0.1,0.1625,4,15,0.0165,0.09056931734085083,0.1836256681592873,0.08523810035312095,0.0364012529261002,0.1836256681592873,0.18813900864576416,0.17932379919068833,0.2530942055837826,0.26240262418708693,0.21744189226661895,0.38759736589986515,0.03565231331716365,0.12925,4.454446465401303
