recipe,K_cl,ami,ami_chance
Random (baseline),5,-0.0026154711182070412,0.0004592618502587451
Random (baseline),10,0.005278354238678951,-0.00019595026946627527
Random (baseline),15,0.009955816366287598,-0.00038904975769344307
Random (baseline),20,0.03553269275093341,-0.00032520117775449635
Random (baseline),30,0.02935309262579495,-0.00029368761973047516
Random (baseline),50,-0.003626096739202697,0.0007991009443685973
Random (baseline),75,0.0019780239157528292,0.00042290681613910174
Random (baseline),100,-0.0060709207752692295,0.00037091965081220924
Transitive Transport Bridge,5,0.12864939211738452,0.0004592618502587451
Transitive Transport Bridge,10,0.09859426078064916,-0.00019595026946627527
Transitive Transport Bridge,15,0.12897134660380552,-0.00038904975769344307
Transitive Transport Bridge,20,0.10825321176226134,-0.00032520117775449635
Transitive Transport Bridge,30,0.0968146255820424,-0.00029368761973047516
Transitive Transport Bridge,50,0.09435302342090122,0.0007991009443685973
Transitive Transport Bridge,75,0.06057022389810773,0.00042290681613910174
Transitive Transport Bridge,100,0.0792851823486654,0.00037091965081220924
Caption Distance FGW,5,0.14098413379678076,0.0004592618502587451
Caption Distance FGW,10,0.13537482671041093,-0.00019595026946627527
Caption Distance FGW,15,0.13152884220606328,-0.00038904975769344307
Caption Distance FGW,20,0.1268034766812676,-0.00032520117775449635
Caption Distance FGW,30,0.12475907720306263,-0.00029368761973047516
Caption Distance FGW,50,0.08503250137854092,0.0007991009443685973
Caption Distance FGW,75,0.07144114051923779,0.00042290681613910174
Caption Distance FGW,100,0.0690800584998283,0.00037091965081220924
Pure-GW (intra-modal geom.),5,0.3401308849404637,0.0004592618502587451
Pure-GW (intra-modal geom.),10,0.29122404388287937,-0.00019595026946627527
Pure-GW (intra-modal geom.),15,0.2988125466335536,-0.00038904975769344307
Pure-GW (intra-modal geom.),20,0.2522284374597624,-0.00032520117775449635
Pure-GW (intra-modal geom.),30,0.20404045479203392,-0.00029368761973047516
Pure-GW (intra-modal geom.),50,0.20903767020463979,0.0007991009443685973
Pure-GW (intra-modal geom.),75,0.17006789221533228,0.00042290681613910174
Pure-GW (intra-modal geom.),100,0.16562376190348438,0.00037091965081220924
Raw caption cosine (ceiling),5,0.18818166226371488,0.0004592618502587451
Raw caption cosine (ceiling),10,0.16715840358117415,-0.00019595026946627527
Raw caption cosine (ceiling),15,0.1681126152666673,-0.00038904975769344307
Raw caption cosine (ceiling),20,0.16270634955575564,-0.00032520117775449635
Raw caption cosine (ceiling),30,0.1818760641122644,-0.00029368761973047516
Raw caption cosine (ceiling),50,0.16114981043787288,0.0007991009443685973
Raw caption cosine (ceiling),75,0.14160240768606389,0.00042290681613910174
Raw caption cosine (ceiling),100,0.14095538401918997,0.00037091965081220924
Procrustes (rigid supervised),5,0.2605454945294903,0.0004592618502587451
Procrustes (rigid supervised),10,0.18025165932330958,-0.00019595026946627527
Procrustes (rigid supervised),15,0.22647380636631237,-0.00038904975769344307
Procrustes (rigid supervised),20,0.1982331135901416,-0.00032520117775449635
Procrustes (rigid supervised),30,0.1659734373991419,-0.00029368761973047516
Procrustes (rigid supervised),50,0.18398712430348757,0.0007991009443685973
Procrustes (rigid supervised),75,0.1633442303791612,0.00042290681613910174
Procrustes (rigid supervised),100,0.14928030065391198,0.00037091965081220924
Direct ridge (supervised),5,0.29965810774207013,0.0004592618502587451
Direct ridge (supervised),10,0.23395833280265743,-0.00019595026946627527
Direct ridge (supervised),15,0.2516572774480604,-0.00038904975769344307
Direct ridge (supervised),20,0.22135264315013994,-0.00032520117775449635
Direct ridge (supervised),30,0.18837875195069856,-0.00029368761973047516
Direct ridge (supervised),50,0.18942538318438157,0.0007991009443685973
Direct ridge (supervised),75,0.16190099981372083,0.00042290681613910174
Direct ridge (supervised),100,0.152516214685687,0.00037091965081220924
