recipe,pair,scope,rank
Random (baseline),canonical,aggregate,93
Random (baseline),canonical,aggregate,31
Random (baseline),canonical,aggregate,48
Random (baseline),canonical,aggregate,112
Random (baseline),canonical,aggregate,309
Random (baseline),canonical,aggregate,46
Random (baseline),canonical,aggregate,194
Random (baseline),canonical,aggregate,97
Random (baseline),canonical,aggregate,349
Random (baseline),canonical,aggregate,302
Random (baseline),canonical,aggregate,291
Random (baseline),canonical,aggregate,377
Random (baseline),canonical,aggregate,181
Random (baseline),canonical,aggregate,39
Random (baseline),canonical,aggregate,156
Random (baseline),canonical,aggregate,376
Random (baseline),canonical,aggregate,222
Random (baseline),canonical,aggregate,335
Random (baseline),canonical,aggregate,290
Random (baseline),canonical,aggregate,69
Random (baseline),canonical,aggregate,339
Random (baseline),canonical,aggregate,56
Random (baseline),canonical,aggregate,142
Random (baseline),canonical,aggregate,125
Random (baseline),canonical,aggregate,88
Random (baseline),canonical,aggregate,344
Random (baseline),canonical,aggregate,364
Random (baseline),canonical,aggregate,198
Random (baseline),canonical,aggregate,122
Random (baseline),canonical,aggregate,126
Random (baseline),canonical,aggregate,312
Random (baseline),canonical,aggregate,49
Random (baseline),canonical,aggregate,382
Random (baseline),canonical,aggregate,136
Random (baseline),canonical,aggregate,104
Random (baseline),canonical,aggregate,144
Random (baseline),canonical,aggregate,343
Random (baseline),canonical,aggregate,270
Random (baseline),canonical,aggregate,106
Random (baseline),canonical,aggregate,252
Random (baseline),canonical,aggregate,22
Random (baseline),canonical,aggregate,36
Random (baseline),canonical,aggregate,275
Random (baseline),canonical,aggregate,127
Random (baseline),canonical,aggregate,349
Random (baseline),canonical,aggregate,351
Random (baseline),canonical,aggregate,211
Random (baseline),canonical,aggregate,31
Random (baseline),canonical,aggregate,125
Random (baseline),canonical,aggregate,399
Random (baseline),canonical,aggregate,279
Random (baseline),canonical,aggregate,236
Random (baseline),canonical,aggregate,135
Random (baseline),canonical,aggregate,248
Random (baseline),canonical,aggregate,339
Random (baseline),canonical,aggregate,353
Random (baseline),canonical,aggregate,362
Random (baseline),canonical,aggregate,59
