K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift,cat_precision_10,plan_row_entropy
10,nan,aggregate,0.035,0.05,0.0675,0.09,0,15,0.09100000000000001,0.19989906251430511,0.26448320764625466,0.19894812704221068,0.08524870333519527,0.2644832076462547,0.2307693495033599,0.30973314857508977,0.2711936007075905,0.2321528549830661,0.21744189226661895,0.38759736589986515,0.053751708440971574,0.11525,nan
10,nan,heldout,0.0,0.0,0.0,0.0,4,15,0.17333333333333337,0.2166130542755127,0.5005922904564875,0.049200010240546,0.051476432108577365,0.5005922904564873,0.43839225835995327,0.5833607645500171,0.28129327008761795,0.23935257512550537,0.22755996447907997,0.6457622410422182,0.05373330560853798,0.07,nan
20,nan,aggregate,0.05,0.065,0.0825,0.1275,0,15,0.12399999999999999,0.2484322041273117,0.2578279620280198,0.1943483971139546,0.10299280409407828,0.2578279620280198,0.2047942837770785,0.3479275312468244,0.29737451539903104,0.23763665550658308,0.21744189226661895,0.38759736589986515,0.07993262313241209,0.10949999999999999,nan
20,nan,heldout,0.0,0.0,0.0,0.03333333333333333,5,15,0.15333333333333335,0.2697138488292694,0.47075101981902057,0.16736033558646174,0.1720173590843337,0.4707510198190205,0.3525033300228372,0.7083769762695791,0.2888553624192498,0.24450332688445872,0.22755996447907997,0.6457622410422182,0.06129539794016983,0.07666666666666669,nan
50,nan,aggregate,0.1025,0.145,0.175,0.2175,0,15,0.10549999999999998,0.22691212594509125,0.26706976649671194,0.18843958867065436,0.07915073948192716,0.2670697664967119,0.24538271841019277,0.2929618852851044,0.2960111622153008,0.23429983630701195,0.21744189226661895,0.38759736589986515,0.07856926994868188,0.15625,nan
50,nan,heldout,0.0,0.0,0.0,0.03333333333333333,4,15,0.16000000000000003,0.5237157344818115,0.5750038209286681,0.10537955123187064,0.1159426122301145,0.5750038209286681,0.5236618012939303,0.6375077824618115,0.2798107089543334,0.2434761629176477,0.22755996447907997,0.6457622410422182,0.052250744475253436,0.15999999999999998,nan
100,nan,aggregate,0.1775,0.245,0.275,0.3275,0,15,0.08399999999999999,0.1801099181175232,0.25667628645314344,0.17652832582562947,0.10040464351303105,0.25667628645314344,0.2357806756947861,0.281635711968417,0.3092737482028256,0.2357911391654329,0.21744189226661895,0.38759736589986515,0.09183185593620666,0.18525,nan
100,nan,heldout,0.0,0.0,0.0,0.0,4,15,0.18666666666666668,0.1840575784444809,0.4872966224463488,0.08634941169191293,0.06763173514476027,0.4872966224463488,0.4024884836249312,0.6173856263134232,0.2986913557923923,0.24454100858865593,0.22755996447907997,0.6457622410422182,0.07113139131331234,0.14666666666666667,nan
160,nan,aggregate,0.2575,0.335,0.385,0.4375,0,15,0.083,0.25887659192085266,0.2744697716628374,0.19390252360520532,0.09200744685221753,0.2744697716628373,0.2579519312229782,0.29324776560389976,0.33929120815479835,0.23666255605380634,0.21744189226661895,0.38759736589986515,0.1218493158881794,0.21125,nan
160,nan,heldout,0.0,0.0,0.0,0.03333333333333333,4,15,0.17333333333333337,0.43021032214164734,0.6322439946584643,0.21544007050996844,0.09309526266900608,0.6322439946584644,0.5810967055858407,0.6932640945993052,0.2954124570593865,0.24579079065123968,0.22755996447907997,0.6457622410422182,0.06785249258030654,0.13000000000000003,nan
200,nan,aggregate,0.2875,0.3875,0.465,0.525,0,15,0.0925,0.28754183650016785,0.27821382491596947,0.19558649817042728,0.08123016315094048,0.2782138249159695,0.2587625428129759,0.3008271176517077,0.3419106250263738,0.2359675785214268,0.21744189226661895,0.38759736589986515,0.12446873275975487,0.23225,nan
200,nan,heldout,0.0,0.0,0.0,0.06666666666666667,4,15,0.17333333333333337,0.3197997808456421,0.5673054675229645,0.16451712688510275,0.038943480841522125,0.5673054675229646,0.48628997546507435,0.6807114022171734,0.30481270848694203,0.24597744073437047,0.22755996447907997,0.6457622410422182,0.07725274400786206,0.14333333333333334,nan
300,nan,aggregate,0.3475,0.525,0.5975,0.67,0,15,0.1045,0.37719517946243286,0.299727943654374,0.22647380636631237,0.10518012160900507,0.299727943654374,0.2824885586978732,0.3192082132061889,0.34839389453882347,0.2357314298673223,0.21744189226661895,0.38759736589986515,0.13095200227220452,0.25575,nan
300,nan,heldout,0.0,0.0,0.0,0.06666666666666667,4,15,0.18000000000000005,0.24986261129379272,0.5958272825324077,0.2047620404128245,0.11277744451109778,0.5958272825324077,0.528054198932993,0.683558564317922,0.33800653201659075,0.2460519665247441,0.22755996447907997,0.6457622410422182,0.11044656753751078,0.15999999999999998,nan
