K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift,cat_precision_10,plan_row_entropy
10,nan,aggregate,0.0225,0.06,0.075,0.115,3,15,0.029500000000000002,0.4846153259277344,0.42242707555060616,0.35307092406926466,0.1741000659599357,0.42242707555060605,0.413487201347134,0.4317620647154756,0.3221562837268592,0.20874640483805532,0.21744189226661895,0.38759736589986515,0.10471439146024028,0.1355,nan
10,nan,heldout,0.0,0.038461538461538464,0.07692307692307693,0.11538461538461539,2,15,0.03076923076923077,0.5237996578216553,0.7740509926927482,0.3383101608561544,0.27219796215429404,0.7740509926927484,0.7229530362830774,0.8329214620370139,0.26662484204696574,0.18157354911033863,0.19460491369210678,0.5783881885624559,0.07201992835485896,0.0923076923076923,nan
20,nan,aggregate,0.0475,0.075,0.1125,0.165,2,15,0.0395,0.41556650400161743,0.35822922461230045,0.28207975701401417,0.12826817891516715,0.3582292246123005,0.3553687122555422,0.3611361615966023,0.32130865688177584,0.21627824248673297,0.21744189226661895,0.38759736589986515,0.1038667646151569,0.14675,nan
20,nan,heldout,0.0,0.0,0.038461538461538464,0.07692307692307693,1,15,0.015384615384615385,0.4629994034767151,0.6800467823168721,0.07149755742330667,0.04154378766508527,0.6800467823168722,0.6379830686858813,0.7280487357094062,0.2025029523386504,0.18456552413753743,0.19460491369210678,0.5783881885624559,0.00789803864654362,0.06153846153846154,nan
50,nan,aggregate,0.115,0.165,0.1975,0.2275,2,15,0.028500000000000004,0.4217488169670105,0.34131541118171294,0.2613228917509739,0.13595283542285766,0.34131541118171294,0.3437230499359548,0.33894126685348025,0.31533832000243506,0.2198654511250621,0.21744189226661895,0.38759736589986515,0.09789642773581611,0.175,nan
50,nan,heldout,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,2,15,0.007692307692307693,0.4293028712272644,0.7197499302239184,-0.0017565664702635887,-0.0019378137937109134,0.7197499302239185,0.7201328845971975,0.719367382931356,0.21721290674597588,0.16617438761475156,0.19460491369210678,0.5783881885624559,0.022607993053869097,0.13076923076923078,nan
100,nan,aggregate,0.2325,0.275,0.3025,0.3275,2,15,0.0285,0.37380486726760864,0.3416760968974853,0.2623250493768396,0.1565992393761779,0.3416760968974853,0.34570195620717886,0.33774292419985025,0.30650816488748056,0.2266219843357885,0.21744189226661895,0.38759736589986515,0.08906627262086161,0.20975000000000002,nan
100,nan,heldout,0.0,0.0,0.0,0.038461538461538464,4,15,0.015384615384615385,0.45032912492752075,0.7772867903691867,0.3154601289237753,0.22166045769026077,0.7772867903691867,0.7414441894984992,0.816770800380332,0.26376302595881257,0.1702589930162003,0.19460491369210678,0.5783881885624559,0.06915811226670579,0.08461538461538462,nan
160,nan,aggregate,0.385,0.4175,0.45,0.4725,3,15,0.0355,0.35513046383857727,0.30889473533143524,0.22611619939117691,0.1261941487237541,0.3088947353314353,0.3135413973495635,0.30438378844952946,0.32659489600450287,0.22350074670518527,0.21744189226661895,0.38759736589986515,0.10915300373788392,0.234,nan
160,nan,heldout,0.0,0.0,0.07692307692307693,0.11538461538461539,5,15,0.02307692307692308,0.3358596861362457,0.7755952648849255,0.27805641022658223,0.2200389980500975,0.7755952648849256,0.752308160046773,0.8003700887618317,0.25014278988336286,0.16602803522271878,0.19460491369210678,0.5783881885624559,0.05553787619125608,0.10769230769230768,nan
200,nan,aggregate,0.4775,0.505,0.535,0.5625,3,15,0.029500000000000002,0.3322966396808624,0.2911899123857333,0.20570069544506434,0.1232001547879998,0.2911899123857333,0.29426889586928534,0.288174693535799,0.3473417177138809,0.2236539670539831,0.21744189226661895,0.38759736589986515,0.12989982544726195,0.25725000000000003,nan
200,nan,heldout,0.0,0.0,0.038461538461538464,0.038461538461538464,4,15,0.02307692307692308,0.27989959716796875,0.7461971291095244,0.18128138718313067,0.12254387280635969,0.7461971291095243,0.7242924200323998,0.7694680815655397,0.2940896111298904,0.16258777525462534,0.19460491369210678,0.5783881885624559,0.09948469743778363,0.1346153846153846,nan
300,nan,aggregate,0.6975,0.7325,0.75,0.7675,3,15,0.0275,0.2906462252140045,0.24176152534053194,0.15019162608236877,0.06036728338712821,0.24176152534053197,0.24582638732474094,0.23782890570571588,0.37066069505763166,0.22319719919718675,0.21744189226661895,0.38759736589986515,0.15321880279101271,0.30450000000000005,nan
300,nan,heldout,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,4,15,0.03076923076923077,0.30868569016456604,0.7697766687313313,0.2206144687729917,0.178223890889587,0.7697766687313313,0.7564676954819753,0.7835623336043015,0.25249760652134295,0.17597253377162894,0.19460491369210678,0.5783881885624559,0.057892692829236175,0.11538461538461539,nan
